Symbol,Datetime,Open,High,Low,Close,Volume,Best_Bid_Size,Best_Ask_Size,Total_Bid_Depth,Total_Ask_Depth,Spread
ADA-USD,2025-04-26 17:10:00-04:00,0.7058,0.7066,0.7056,0.7063,58855.32400398,504.18044026,2788.35550664,20798772.54131308,77041982.33932899,0.0001999999999999
ADA-USD,2025-04-26 17:15:00-04:00,0.7064,0.7064,0.7062,0.7062,20364.60762852,500.0,1639.75171323,20777446.372615434,76997471.05729821,0.0001999999999999
ADA-USD,2025-04-26 17:15:00-04:00,0.7064,0.7068,0.7062,0.7068,25157.1805891,1983.16622766,1643.2362872,20804894.57628233,76963358.24641559,0.0001999999999999
ADA-USD,2025-04-26 17:15:00-04:00,0.7064,0.7072,0.7062,0.7067,37421.19699033,1.74777249,544.6637708,20797192.34250624,77013359.74874632,9.9999999999989e-05
ADA-USD,2025-04-26 17:15:00-04:00,0.7064,0.7072,0.7062,0.7063,43429.21700701,3088.05611757,1578.32303791,20744416.563092533,77043756.32861981,0.0001999999999999
ADA-USD,2025-04-26 17:15:00-04:00,0.7064,0.7072,0.7058,0.706,49042.30438503,1554.73587909,798.40556363,20753860.653656486,77034116.80052912,0.0001999999999999
ADA-USD,2025-04-26 17:20:00-04:00,0.7054,0.7055,0.7053,0.7054,1168.23516324,3.8541799,270.18711069,20713164.80584504,77020569.88724487,9.9999999999989e-05
ADA-USD,2025-04-26 17:20:00-04:00,0.7054,0.7058,0.7052,0.7056,1290.96429267,4102.10118136,827.78487467,20697559.354484003,76983674.64423151,0.0001999999999999
ADA-USD,2025-04-26 17:20:00-04:00,0.7054,0.7058,0.7052,0.7055,12926.62714658,1224.22469677,1081.76648607,20703096.175545145,77185417.52664563,0.0001999999999999
ADA-USD,2025-04-26 17:20:00-04:00,0.7054,0.706,0.7052,0.706,14782.70636272,2037.82834567,2612.03985204,20707787.16141688,77141960.8622765,0.0001999999999999
ADA-USD,2025-04-26 17:20:00-04:00,0.7054,0.7074,0.7052,0.7074,24837.62494848,2473.87599317,3139.01678837,20836490.39662683,77188576.92131144,0.0001999999999999
ADA-USD,2025-04-26 17:25:00-04:00,0.7073,0.7074,0.7071,0.7074,2549.78022005,2003.59914152,1494.57526583,20788047.05387733,77153172.48223118,0.0002999999999999
ADA-USD,2025-04-26 17:25:00-04:00,0.7073,0.7074,0.7071,0.7072,3360.57764792,836.12359701,1942.47257348,20787497.794721555,77178362.03840539,0.0001999999999999
ADA-USD,2025-04-26 17:25:00-04:00,0.7073,0.7074,0.707,0.707,4366.4779556,113.65423087,4936.2563221,20710886.05010572,77087568.60660358,0.0002
ADA-USD,2025-04-26 17:25:00-04:00,0.7073,0.7074,0.7068,0.707,6271.07370767,2.17260142,2797.57326768,20760203.069873687,77094393.82052934,0.0001999999999999
ADA-USD,2025-04-26 17:25:00-04:00,0.7073,0.7074,0.7065,0.7065,9283.51860488,2298.59097924,1959.36342026,20768446.972693868,77094734.19730213,0.0001999999999999
ADA-USD,2025-04-26 17:30:00-04:00,0.7063,0.7064,0.7062,0.7062,701.29205411,3613.39542607,1000.20098916,20794566.144894905,77094179.61182417,0.0002
ADA-USD,2025-04-26 17:30:00-04:00,0.7063,0.7064,0.7058,0.7059,7626.20761854,5436.60962081,794.01934376,20573022.041537896,77045103.91932178,0.0001999999999999
ADA-USD,2025-04-26 17:30:00-04:00,0.7063,0.7064,0.7057,0.7059,10098.40221801,1443.00142715,7.00328791,20597516.058730982,77111473.49702264,9.9999999999989e-05
ADA-USD,2025-04-26 17:30:00-04:00,0.7063,0.7067,0.7057,0.7065,12399.5494728,278.61306314,3035.36806043,20610406.383897904,77052307.06784506,0.0001999999999999
ADA-USD,2025-04-26 17:50:00-04:00,0.7052,0.7052,0.704,0.7043,8700.65046551,15.44706734,57.14829767,20866229.11460257,77129517.87164354,9.9999999999989e-05
ADA-USD,2025-04-26 17:55:00-04:00,0.7042,0.7043,0.704,0.704,1774.48910023,3.0742648,2464.11722379,20850899.72153699,77124690.48438771,9.9999999999989e-05
ADA-USD,2025-04-26 18:05:00-04:00,0.7064,0.7066,0.706,0.7064,11870.82840489,3058.84195088,561.93102285,20864093.280393828,77182801.52358642,0.0001999999999999
ADA-USD,2025-04-26 18:05:00-04:00,0.7064,0.7074,0.706,0.7074,16244.83795198,15.37285506,139.6258,20884926.037480403,77141823.50371966,9.9999999999989e-05
ADA-USD,2025-04-26 18:05:00-04:00,0.7064,0.7086,0.706,0.7086,18006.27142834,1115.24527613,313.17150975,20860252.061060928,77187521.74311863,0.0002
ADA-USD,2025-04-26 18:05:00-04:00,0.7064,0.7086,0.706,0.7082,19130.75726753,15.36200159,786.84483888,20866621.206640445,77181911.71795355,9.9999999999989e-05
ADA-USD,2025-04-26 18:10:00-04:00,0.7083,0.7083,0.7075,0.7075,2590.73773759,356.10446401,515.37835561,20834626.91624669,77105560.77180701,9.9999999999989e-05
ADA-USD,2025-04-26 18:10:00-04:00,0.7083,0.7083,0.7074,0.708,3876.27090628,1863.54179564,1044.97100465,20855546.659432687,77126465.86397658,0.0002
ADA-USD,2025-04-26 18:10:00-04:00,0.7083,0.7083,0.7074,0.7079,8573.31758092,15.12633114,2600.38857776,20882942.081366267,77184919.72898081,0.0001999999999999
ADA-USD,2025-04-26 18:10:00-04:00,0.7083,0.7083,0.7074,0.7077,9123.75417317,2479.09851434,1619.34900375,20885562.212182872,77164612.39835997,0.0001999999999999
ADA-USD,2025-04-26 18:10:00-04:00,0.7083,0.7083,0.7074,0.7083,9459.48205992,309.12002224,2.20368727,20881070.852007844,77170526.98049945,9.9999999999989e-05
ADA-USD,2025-04-26 18:15:00-04:00,0.7088,0.7089,0.7085,0.7085,11216.52035675,2.72438728,4621.26925325,20854272.705402188,77177549.19876984,0.0002
ADA-USD,2025-04-26 18:15:00-04:00,0.7088,0.7089,0.7081,0.7081,11222.87286589,1.41101694,6672.09943285,20832241.701190244,77169373.2163052,9.9999999999989e-05
ADA-USD,2025-04-26 18:15:00-04:00,0.7088,0.7089,0.7078,0.708,16355.70527716,1615.82995552,4046.67647653,20849920.446623445,77156684.41806291,0.0001999999999999
ADA-USD,2025-04-26 18:15:00-04:00,0.7088,0.7098,0.7078,0.7095,27405.55857276,5.75251335,13.9063453,20900535.87699164,77086982.8680557,9.9999999999989e-05
