Symbol,Datetime,Open,High,Low,Close,Volume,Best_Bid_Size,Best_Ask_Size,Total_Bid_Depth,Total_Ask_Depth,Spread
AVAX-USD,2025-04-26 23:55:00-04:00,22.32,22.38,22.32,22.38,625.65226672,237.20983146,113.12738946,192307.43826720983,658444.3376853733,0.009999999999998
AVAX-USD,2025-04-27 00:00:00-04:00,22.38,22.38,22.38,22.38,10.16779368,362.50174371,0.01,192537.11073683985,657669.1862426532,0.009999999999998
AVAX-USD,2025-04-27 00:00:00-04:00,22.38,22.39,22.38,22.38,86.07936423,206.18005565,203.34272141,192779.04445893984,657351.0008513334,0.009999999999998
AVAX-USD,2025-04-27 00:00:00-04:00,22.38,22.42,22.38,22.42,91.95886782,295.73823116,0.01,189118.1656909098,654932.8767435737,0.0100000000000015
AVAX-USD,2025-04-27 00:00:00-04:00,22.38,22.47,22.38,22.47,366.15314467,290.37782629,0.14674512,189184.75502643985,654900.7956219336,0.0100000000000015
AVAX-USD,2025-04-27 00:00:00-04:00,22.38,22.49,22.38,22.47,542.35130058,240.53529587,54.15101087,192230.2528041698,656756.9160276235,0.009999999999998
AVAX-USD,2025-04-27 00:05:00-04:00,22.46,22.46,22.43,22.44,229.96737665,88.71241119,159.60802039,192491.03782033984,656629.2627608834,0.0100000000000015
AVAX-USD,2025-04-27 00:05:00-04:00,22.46,22.47,22.43,22.47,317.99778608,78.69369956,180.19926551,190845.35493270983,657288.7366536034,0.009999999999998
AVAX-USD,2025-04-27 00:05:00-04:00,22.46,22.48,22.43,22.43,749.0154845,263.04444884,5.18028307,192472.06622769983,656370.8572506934,0.0100000000000015
AVAX-USD,2025-04-27 00:05:00-04:00,22.46,22.48,22.43,22.45,758.09070031,579.8411646,477.28253454,192432.4214567198,656240.3507859835,0.0199999999999995
AVAX-USD,2025-04-27 00:05:00-04:00,22.46,22.49,22.43,22.49,799.00861784,168.37025421,146.64742467,192482.18727384985,656436.3472320033,0.0100000000000015
AVAX-USD,2025-04-27 00:10:00-04:00,22.49,22.5,22.48,22.48,199.59702624,357.27243931,2.39056737,191353.48176321984,656127.5108091334,0.009999999999998
AVAX-USD,2025-04-27 00:10:00-04:00,22.49,22.52,22.48,22.52,205.50111492,354.71916731,44.99027,192446.35926778984,656323.3999069234,0.009999999999998
AVAX-USD,2025-04-27 00:10:00-04:00,22.49,22.52,22.48,22.51,220.25789061,93.28940953,166.77719508,191999.46121531984,656193.3912946834,0.009999999999998
AVAX-USD,2025-04-27 00:10:00-04:00,22.49,22.52,22.48,22.51,403.37057858,162.55110192,114.56058203,192048.87269512983,656286.2818637034,0.009999999999998
AVAX-USD,2025-04-27 00:10:00-04:00,22.49,22.53,22.48,22.53,553.76254219,212.40593367,203.97432942,192153.4634736698,656779.0277217934,0.009999999999998
AVAX-USD,2025-04-27 00:15:00-04:00,22.53,22.55,22.53,22.55,61.52281844,271.18817592,27.08765891,191914.32048834983,656561.4398289435,0.0100000000000015
AVAX-USD,2025-04-27 00:15:00-04:00,22.53,22.55,22.52,22.52,211.74953418,109.22699743,232.76353507,188574.59892787985,656430.1715607634,0.0100000000000015
AVAX-USD,2025-04-27 00:15:00-04:00,22.53,22.55,22.48,22.49,213.26795485,403.54794004,77.08851811,192270.37163731983,656758.9154612233,0.009999999999998
AVAX-USD,2025-04-27 00:15:00-04:00,22.53,22.55,22.47,22.48,318.43087126,396.83010928,5.49924521,192490.7531614098,656698.8033538434,0.0100000000000015
AVAX-USD,2025-04-27 00:15:00-04:00,22.53,22.55,22.47,22.49,334.41624865,180.74371776,192.36019559,191804.7875015098,656808.9011256234,0.009999999999998
AVAX-USD,2025-04-27 00:20:00-04:00,22.48,22.48,22.45,22.45,6.41085032,142.66785145,169.8039827,191666.11253880983,656546.4279326334,0.0100000000000015
AVAX-USD,2025-04-27 00:20:00-04:00,22.48,22.48,22.45,22.47,33.6441076,224.05152814,174.69969867,191632.44004714984,656451.6226770334,0.0100000000000015
AVAX-USD,2025-04-27 00:20:00-04:00,22.48,22.5,22.45,22.5,84.78316421,312.09112849,1.97185787,192210.6880116897,656368.5236955334,0.0100000000000015
AVAX-USD,2025-04-27 00:20:00-04:00,22.48,22.52,22.45,22.52,105.20904513,267.75512522,0.45415745,191950.63334305983,656523.3084131235,0.009999999999998
AVAX-USD,2025-04-27 00:20:00-04:00,22.48,22.53,22.45,22.53,137.52167715,252.07560942,114.41954578,191821.64097802973,656360.5246384834,0.009999999999998
AVAX-USD,2025-04-27 00:25:00-04:00,22.51,22.51,22.51,22.51,5.07409358,387.5687845,0.36507073,192029.21103140985,656478.2062540934,0.0100000000000015
AVAX-USD,2025-04-27 00:25:00-04:00,22.51,22.51,22.49,22.51,7.37293314,402.06910617,0.44433479,192149.98035307977,656562.1004878934,0.0100000000000015
AVAX-USD,2025-04-27 00:25:00-04:00,22.51,22.51,22.49,22.49,7.39514549,142.06252311,192.37766307,192066.40213276976,656640.9126445334,0.0100000000000015
AVAX-USD,2025-04-27 00:25:00-04:00,22.51,22.51,22.49,22.49,15.09405944,82.3682185,188.48811752,191771.8690129197,656697.4648918035,0.0100000000000015
AVAX-USD,2025-04-27 00:25:00-04:00,22.51,22.51,22.49,22.49,41.47009689,1.58020873,203.79006393,191904.17722403977,656722.9908695633,0.0100000000000015
AVAX-USD,2025-04-27 00:30:00-04:00,22.5,22.51,22.48,22.48,20.98301966,87.90862825,180.99146945,191487.7090325398,656932.0576810134,0.0100000000000015
AVAX-USD,2025-04-27 00:30:00-04:00,22.5,22.51,22.46,22.46,168.92867155,468.69797262,1175.00864526,192302.6158495698,657154.7942810433,0.0199999999999995
AVAX-USD,2025-04-27 00:30:00-04:00,22.5,22.51,22.43,22.43,228.40972349,166.21056263,175.94597254,191824.47188894983,656926.7553547134,0.0100000000000015
AVAX-USD,2025-04-27 00:30:00-04:00,22.5,22.51,22.43,22.46,242.60650956,0.49983147,252.00277752,161789.00557833002,651757.5294431536,0.0100000000000015
AVAX-USD,2025-04-27 00:30:00-04:00,22.5,22.51,22.42,22.42,242.73450956,52.32027725,168.7323132,186872.4742316498,656992.1498282333,0.0100000000000015
AVAX-USD,2025-04-27 00:35:00-04:00,22.42,22.42,22.42,22.42,9.3170433,213.14915788,136.41094875,192309.41193679985,657316.0349309933,0.0100000000000015
AVAX-USD,2025-04-27 00:35:00-04:00,22.42,22.44,22.41,22.44,9.60370324,544.04319173,344.14722896,192580.55628255985,656408.1785625834,0.0199999999999995
AVAX-USD,2025-04-27 00:35:00-04:00,22.42,22.44,22.4,22.4,14.72110333,0.55091549,288.54174907,192450.7980798198,656780.4678133434,0.009999999999998
AVAX-USD,2025-04-27 00:35:00-04:00,22.42,22.44,22.38,22.38,46.85871875,169.42748976,164.54207062,192181.12998896983,656665.7668298134,0.0100000000000015
AVAX-USD,2025-04-27 00:35:00-04:00,22.42,22.44,22.35,22.35,133.45096719,176.08148116,178.42344062,192795.4067108799,657060.1732892133,0.0100000000000015
AVAX-USD,2025-04-27 00:40:00-04:00,22.35,22.37,22.34,22.34,291.69320276,165.33360203,232.71739444,193304.7969601898,656713.0832449334,0.009999999999998
AVAX-USD,2025-04-27 00:40:00-04:00,22.35,22.41,22.34,22.41,296.66996757,84.33455639,216.53599553,187398.75896514984,651923.1533150637,0.0100000000000015
AVAX-USD,2025-04-27 00:40:00-04:00,22.35,22.42,22.34,22.41,328.40677155,206.76211592,163.09822092,192850.55024805988,656588.1332339634,0.0100000000000015
AVAX-USD,2025-04-27 00:40:00-04:00,22.35,22.42,22.34,22.37,4928.67653823,457.13308496,5.03e-06,191313.57462700983,656530.1966331534,0.0100000000000015
AVAX-USD,2025-04-27 00:40:00-04:00,22.35,22.42,22.32,22.32,9405.37506629,684.90895732,0.01,189617.33840185983,660631.4097563332,0.0100000000000015
AVAX-USD,2025-04-27 00:45:00-04:00,22.32,22.33,22.32,22.33,77.15012076,314.58222419,507.68133947,189492.44717615985,659338.8166439432,0.009999999999998
AVAX-USD,2025-04-27 00:45:00-04:00,22.32,22.37,22.32,22.37,941.50781639,175.2889586,137.15525586,184620.0081297597,661102.3306459632,0.0100000000000015
AVAX-USD,2025-04-27 00:45:00-04:00,22.32,22.37,22.32,22.37,1235.64473047,84.94329215,225.83189846,189108.31222538985,661346.7898899029,0.009999999999998
AVAX-USD,2025-04-27 00:45:00-04:00,22.32,22.37,22.32,22.33,1244.21678167,0.10092543,208.62428084,189395.8374488998,661286.1100215829,0.0100000000000015
AVAX-USD,2025-04-27 00:45:00-04:00,22.32,22.37,22.27,22.27,1861.22339098,0.054,290.60707018,190016.0224788999,661446.6747602829,0.009999999999998
AVAX-USD,2025-04-27 00:50:00-04:00,22.26,22.26,22.21,22.23,617.79193085,52.05800658,190.26779149,189527.71431491984,653011.7378607036,0.009999999999998
AVAX-USD,2025-04-27 00:50:00-04:00,22.26,22.26,22.21,22.25,656.46824183,340.06802575,0.46933054,190301.58479845984,661050.3769731931,0.0100000000000015
AVAX-USD,2025-04-27 00:50:00-04:00,22.26,22.26,22.21,22.24,726.00208552,89.64994353,164.83025457,190308.88773023983,660589.6671666132,0.0100000000000015
AVAX-USD,2025-04-27 00:50:00-04:00,22.26,22.26,22.2,22.2,1193.24629884,259.65440208,0.45044736,190578.06916441984,660865.7805436231,0.009999999999998
AVAX-USD,2025-04-27 00:50:00-04:00,22.26,22.26,22.18,22.18,1411.85344778,426.00608234,1113.9710548,190584.17406965987,660610.0934147632,0.0199999999999995
AVAX-USD,2025-04-27 00:55:00-04:00,22.19,22.2,22.19,22.2,5.46990881,0.45024763,322.6198566,190986.86774389984,661038.9363471732,0.009999999999998
AVAX-USD,2025-04-27 00:55:00-04:00,22.19,22.24,22.19,22.23,38.03177253,153.69262589,302.35093921,190901.37761233983,660084.8961094031,0.0100000000000015
AVAX-USD,2025-04-27 00:55:00-04:00,22.19,22.25,22.19,22.25,39.03924672,346.24713361,1062.06055929,191245.59601032987,660095.9656584031,0.0199999999999995
AVAX-USD,2025-04-27 00:55:00-04:00,22.19,22.27,22.19,22.24,90.74701153,253.50890742,159.92384086,191042.43145544987,659806.9511995431,0.009999999999998
AVAX-USD,2025-04-27 00:55:00-04:00,22.19,22.27,22.19,22.22,274.07516566,157.46088133,192.256009,190780.6113636599,660715.8519157232,0.009999999999998
AVAX-USD,2025-04-27 01:00:00-04:00,22.2,22.22,22.2,22.22,84.04955694,208.26426685,220.39127851,189628.47441322988,660689.2580093131,0.009999999999998
AVAX-USD,2025-04-27 01:00:00-04:00,22.2,22.24,22.2,22.21,372.15917078,0.055,277.61573077,189633.75535050983,661011.7946416931,0.0100000000000015
AVAX-USD,2025-04-27 01:00:00-04:00,22.2,22.24,22.2,22.2,372.21417078,394.70857793,1123.02288677,190736.43520430985,661058.6189663531,0.0199999999999995
AVAX-USD,2025-04-27 01:00:00-04:00,22.2,22.24,22.2,22.24,372.37717078,261.09368818,80.93048998,190736.7505710199,660429.8168175531,0.0100000000000015
AVAX-USD,2025-04-27 01:00:00-04:00,22.2,22.25,22.2,22.22,401.54807939,161.51202328,135.57118198,190743.47977716988,661578.3424838228,0.009999999999998
AVAX-USD,2025-04-27 01:05:00-04:00,22.21,22.21,22.18,22.18,0.22,367.2733386,245.38268101,191182.97285452983,660450.2140760932,0.0199999999999995
AVAX-USD,2025-04-27 01:05:00-04:00,22.21,22.21,22.18,22.2,174.12785822,83.77124315,223.78255575,191059.24594210985,660577.2109232432,0.009999999999998
