Symbol,Datetime,Open,High,Low,Close,Volume,Best_Bid_Size,Best_Ask_Size,Total_Bid_Depth,Total_Ask_Depth,Spread
DOGE-USD,2025-04-26 23:55:00-04:00,0.17946,0.17962,0.17941,0.17962,520459.8,497.7,55.6,88951553.7999998,253489924.30000007,9.999999999982244e-06
DOGE-USD,2025-04-27 00:00:00-04:00,0.17959,0.17966,0.17954,0.17957,149100.9,1071.4,13880.5,88619182.49999982,253418195.20000008,1.999999999999225e-05
DOGE-USD,2025-04-27 00:00:00-04:00,0.17959,0.17966,0.1794,0.17956,198830.0,2825.1,4232.0,88786221.99999985,253226789.60000008,1.999999999999225e-05
DOGE-USD,2025-04-27 00:00:00-04:00,0.17959,0.17975,0.1794,0.17973,223757.3,11.1,2328.7,87825229.69999982,252692106.0000001,1.000000000001e-05
DOGE-USD,2025-04-27 00:00:00-04:00,0.17959,0.1798,0.1794,0.17979,229696.4,895.6,55.6,87846269.79999983,252729573.5000001,3.0000000000002247e-05
DOGE-USD,2025-04-27 00:00:00-04:00,0.17959,0.17984,0.1794,0.17962,338314.6,11.1,4232.0,86984420.19999982,253385407.70000008,1.999999999999225e-05
DOGE-USD,2025-04-27 00:05:00-04:00,0.17963,0.17963,0.17937,0.17945,54193.1,11.1,5287.0,87307255.99999982,253372333.80000007,1.000000000001e-05
DOGE-USD,2025-04-27 00:05:00-04:00,0.17963,0.17963,0.17937,0.17956,66339.8,11.1,6562.5,86723303.79999982,253325474.5000001,9.999999999982244e-06
DOGE-USD,2025-04-27 00:05:00-04:00,0.17963,0.17963,0.17937,0.17949,70683.8,495.9,6.7,88407581.89999984,253425146.60000008,1.000000000001e-05
DOGE-USD,2025-04-27 00:05:00-04:00,0.17963,0.17965,0.17937,0.17958,135739.3,151.1,553.8,88785665.89999984,253364015.0000001,9.999999999982244e-06
DOGE-USD,2025-04-27 00:05:00-04:00,0.17963,0.17972,0.17937,0.17972,260821.8,11.1,8132.0,88578129.99999984,253283775.40000007,2.000000000002e-05
DOGE-USD,2025-04-27 00:10:00-04:00,0.17974,0.1798,0.17969,0.17969,421.9,295.4,2384.2,88173168.29999983,253292618.80000007,1.999999999999225e-05
DOGE-USD,2025-04-27 00:10:00-04:00,0.17974,0.17985,0.17968,0.17983,27755.6,11.1,36.9,88758686.49999984,253231197.8000001,1.000000000001e-05
DOGE-USD,2025-04-27 00:10:00-04:00,0.17974,0.17985,0.17968,0.17982,39006.0,1093.5,47.1,87823166.09999983,253267214.30000007,1.999999999999225e-05
DOGE-USD,2025-04-27 00:10:00-04:00,0.17974,0.17985,0.17968,0.17981,100928.7,13438.4,4698.1,87753433.79999983,253270962.4000001,9.999999999982244e-06
DOGE-USD,2025-04-27 00:10:00-04:00,0.17974,0.17989,0.17968,0.17989,124573.5,11.1,7198.3,88395858.69999984,253242698.5000001,1.000000000001e-05
DOGE-USD,2025-04-27 00:15:00-04:00,0.17986,0.17993,0.17984,0.17987,77502.6,2223.7,42.8,88507744.29999983,253298185.5000001,1.999999999999225e-05
DOGE-USD,2025-04-27 00:15:00-04:00,0.17986,0.17993,0.17974,0.17975,107011.5,12.4,6535.3,88181486.49999984,253273090.5000001,1.000000000001e-05
DOGE-USD,2025-04-27 00:15:00-04:00,0.17986,0.17993,0.17958,0.17958,128415.9,465.7,34.8,88206376.19999984,253344183.0000001,9.999999999982244e-06
DOGE-USD,2025-04-27 00:15:00-04:00,0.17986,0.17993,0.17952,0.17967,134911.0,66.7,30.9,88079247.09999983,253298186.60000008,1.999999999999225e-05
DOGE-USD,2025-04-27 00:15:00-04:00,0.17986,0.17993,0.17952,0.17979,141801.0,534.6,33.3,88676040.59999985,253320569.10000008,1.999999999999225e-05
DOGE-USD,2025-04-27 00:20:00-04:00,0.17979,0.1798,0.17964,0.17965,10028.2,6.7,4175.7,88532724.19999984,253309585.10000008,9.999999999982244e-06
DOGE-USD,2025-04-27 00:20:00-04:00,0.17979,0.1798,0.17951,0.17951,15546.3,700.4,2359.7,87021564.79999983,253359386.20000008,1.999999999999225e-05
DOGE-USD,2025-04-27 00:20:00-04:00,0.17979,0.1798,0.1795,0.17962,32551.4,140.0,2000.0,88398224.49999984,253379785.4000001,1.000000000001e-05
DOGE-USD,2025-04-27 00:20:00-04:00,0.17979,0.1798,0.1795,0.17971,34740.1,1407.8,40.5,86896418.59999982,253205049.5000001,3.0000000000002247e-05
DOGE-USD,2025-04-27 00:20:00-04:00,0.17979,0.1798,0.1795,0.17958,42928.4,66.8,4172.2,87012184.89999981,253329484.4000001,1.000000000001e-05
DOGE-USD,2025-04-27 00:25:00-04:00,0.17957,0.17957,0.17939,0.1794,27463.6,782.5,55.7,88483294.69999984,253331248.60000008,2.000000000002e-05
DOGE-USD,2025-04-27 00:25:00-04:00,0.17957,0.17957,0.17929,0.17929,34010.1,493.7,55.5,88573559.49999985,253319002.7000001,9.999999999982244e-06
