Symbol,Datetime,Open,High,Low,Close,Volume,Best_Bid_Size,Best_Ask_Size,Total_Bid_Depth,Total_Ask_Depth,Spread
ETH-USD,2025-04-26 17:10:00-04:00,1814.49,1815.93,1813.78,1814.03,449.38564956,0.00050154,1.46145135,72795.12620153,82077.73390852993,0.0099999999999909
ETH-USD,2025-04-26 17:15:00-04:00,1814.95,1814.95,1814.23,1814.33,25.12671987,2.90519073,0.08256217,72825.32008737,82097.03558104995,0.0099999999999909
ETH-USD,2025-04-26 17:15:00-04:00,1814.95,1815.66,1814.17,1815.23,48.11242036,0.00016536,1.47895657,72840.30717238,82185.07850378993,0.0099999999999909
ETH-USD,2025-04-26 17:15:00-04:00,1814.95,1815.66,1814.17,1814.93,61.81959753,0.00550939,0.26155359,72829.42196965,82157.79678658994,0.0099999999999909
ETH-USD,2025-04-26 17:15:00-04:00,1814.95,1815.76,1814.17,1815.05,242.41926238,0.0014897,1.13372661,72844.73470604999,82179.00877564994,0.0099999999999909
ETH-USD,2025-04-26 17:15:00-04:00,1814.95,1815.76,1814.04,1814.15,270.44665173,0.00209316,2.28556035,72888.24765936,82133.93646467994,0.0099999999999909
ETH-USD,2025-04-26 17:20:00-04:00,1812.75,1812.75,1812.38,1812.39,2.35564642,2.25037943,0.11133062,72649.34250394002,82110.45301883994,0.0099999999999909
ETH-USD,2025-04-26 17:20:00-04:00,1812.75,1813.02,1812.38,1812.84,19.80838335,0.00157449,0.67702064,72592.40149358001,82068.88683172993,0.0099999999999909
ETH-USD,2025-04-26 17:20:00-04:00,1812.75,1813.02,1811.3,1811.65,69.68607313,0.208711,4.50335305,72342.80984292,82009.06361438993,0.0099999999999909
ETH-USD,2025-04-26 17:20:00-04:00,1812.75,1813.02,1810.54,1812.51,165.15074407,0.00341429,0.01494347,72518.20780494002,82073.47056156993,0.1299999999998817
ETH-USD,2025-04-26 17:20:00-04:00,1812.75,1815.55,1810.54,1815.49,188.73087466,4.1986056,0.06651363,72598.22525660001,81463.43106251994,0.0099999999999909
ETH-USD,2025-04-26 17:25:00-04:00,1816.04,1816.56,1815.55,1816.55,22.9708531,1.13899072,0.00012401,73091.41613971,82061.75889375994,0.0400000000001909
ETH-USD,2025-04-26 17:25:00-04:00,1816.04,1816.67,1815.55,1815.56,47.91972206,0.00550715,0.10012651,73107.79841918999,82186.01535386994,0.1000000000001364
ETH-USD,2025-04-26 17:25:00-04:00,1816.04,1816.67,1815.23,1815.49,55.1753538,0.23562241,0.0424674,73017.83410114,82112.06016276994,0.0399999999999636
ETH-USD,2025-04-26 17:25:00-04:00,1816.04,1816.67,1814.95,1815.34,96.53168837,2.55786839,0.11277623,73043.48859491,81969.38831394994,0.0099999999999909
ETH-USD,2025-04-26 17:25:00-04:00,1816.04,1816.67,1813.81,1813.96,114.81522437,0.27561811,0.01194875,73014.31200007,82024.65516626993,0.0700000000001637
ETH-USD,2025-04-26 17:30:00-04:00,1813.82,1814.84,1813.8,1814.55,11.38924497,0.00551143,0.1216626,73009.18708707001,82122.87074452994,0.1499999999998635
ETH-USD,2025-04-26 17:30:00-04:00,1813.82,1814.84,1813.8,1814.13,22.88337872,1.16427554,0.00206681,72988.84649104,82038.18872019993,0.0099999999999909
ETH-USD,2025-04-26 17:30:00-04:00,1813.82,1815.94,1813.8,1815.6,77.31985652,1.24669791,0.03790126,73039.76468504,81842.33753815993,0.0099999999999909
ETH-USD,2025-04-26 17:30:00-04:00,1813.82,1816.77,1813.8,1816.16,121.63374812,0.00566101,0.08688707,73046.40539375,82135.41696492994,0.0099999999999909
ETH-USD,2025-04-26 17:50:00-04:00,1812.52,1813.45,1811.25,1812.78,89.5237852,0.00033635,1.28021919,73168.00369060998,82070.97893207993,0.0099999999999909
ETH-USD,2025-04-26 17:55:00-04:00,1813.04,1813.22,1811.02,1811.03,9.96676896,0.00552016,0.01436466,73217.38245050998,82124.62148566994,0.2200000000000272
ETH-USD,2025-04-26 18:05:00-04:00,1816.51,1818.69,1816.12,1818.4,141.11888937,0.0054994,1.226177,73272.29248078997,82028.95977516993,0.1199999999998908
ETH-USD,2025-04-26 18:05:00-04:00,1816.51,1820.27,1816.12,1819.75,330.3543243,0.001,0.04980607,73219.05883836998,81716.51084335991,0.0099999999999909
ETH-USD,2025-04-26 18:05:00-04:00,1816.51,1824.64,1816.12,1823.98,460.07779523,0.00548245,0.04232975,73239.21651923997,81899.34745648994,0.1700000000000727
ETH-USD,2025-04-26 18:05:00-04:00,1816.51,1824.64,1816.12,1823.02,648.38723014,1.14538797,0.01686472,73332.65044748998,81840.99424977993,0.009999999999990905
