Symbol,Datetime,Open,High,Low,Close,Volume,Best_Bid_Size,Best_Ask_Size,Total_Bid_Depth,Total_Ask_Depth,Spread
LTC-USD,2025-04-26 17:10:00-04:00,87.56,87.56,87.43,87.48,262.46715555,7.59309394,3.96176859,65546.27218078985,184053.22828007943,0.019999999999996
LTC-USD,2025-04-26 17:15:00-04:00,87.51,87.51,87.48,87.49,56.02032745,0.11432491,18.14213404,65666.97440764985,184357.38399356944,0.019999999999996
LTC-USD,2025-04-26 17:15:00-04:00,87.51,87.59,87.43,87.58,162.07390573,3.06780093,14.04227743,65460.25724653984,184240.32571114943,0.019999999999996
LTC-USD,2025-04-26 17:15:00-04:00,87.51,87.62,87.43,87.58,216.10468416,4.16422044,0.03762487,65623.34018705983,184309.58282495945,0.0100000000000051
LTC-USD,2025-04-26 17:15:00-04:00,87.51,87.62,87.43,87.54,238.41550487,0.11429877,4.16429221,65655.75296107984,184351.42945542943,0.0100000000000051
LTC-USD,2025-04-26 17:15:00-04:00,87.51,87.62,87.43,87.48,326.77917168,0.38797721,0.11435743,65281.12479470984,184312.72321614943,0.0099999999999909
LTC-USD,2025-04-26 17:20:00-04:00,87.42,87.43,87.42,87.43,0.26877639,0.51576081,0.05829207,65242.21563466983,184264.78988571945,0.0099999999999909
LTC-USD,2025-04-26 17:20:00-04:00,87.42,87.46,87.42,87.45,42.17726246,0.11436413,0.13771227,65641.89959134984,184232.53512579945,0.0100000000000051
LTC-USD,2025-04-26 17:20:00-04:00,87.42,87.48,87.42,87.46,119.4958053,0.11432491,10.38662173,65235.15778612983,184170.18187073944,0.019999999999996
LTC-USD,2025-04-26 17:20:00-04:00,87.42,87.52,87.42,87.5,140.87495718,0.11424654,0.11425305,65323.78713510982,184156.51150666943,0.0100000000000051
LTC-USD,2025-04-26 17:20:00-04:00,87.42,87.62,87.42,87.61,162.5073842,0.22566453,0.11414223,65257.05522641982,184082.30416911948,0.0099999999999909
LTC-USD,2025-04-26 17:25:00-04:00,87.63,87.64,87.59,87.63,33.2467778,0.11412919,0.11214839,65486.54298643983,184075.05211489947,0.0099999999999909
LTC-USD,2025-04-26 17:25:00-04:00,87.63,87.64,87.59,87.64,40.96576817,6.80376617,1.67336286,65437.15131817983,184048.51218720948,0.0100000000000051
LTC-USD,2025-04-26 17:25:00-04:00,87.63,87.65,87.59,87.63,46.49298964,0.05959806,17.96514027,65485.33569947984,183974.7692092895,0.0100000000000051
LTC-USD,2025-04-26 17:25:00-04:00,87.63,87.65,87.57,87.61,122.24544616,0.61249,0.3104695,65536.89162861982,184166.27756821943,0.0100000000000051
LTC-USD,2025-04-26 17:25:00-04:00,87.63,87.65,87.51,87.54,148.2756894,0.48425365,0.13004511,65506.57966923984,184168.31782991943,0.0200000000000102
LTC-USD,2025-04-26 17:30:00-04:00,87.51,87.55,87.46,87.52,74.44251423,0.34367786,0.2778385,65261.59609434983,184187.13766023944,0.0300000000000011
LTC-USD,2025-04-26 17:30:00-04:00,87.51,87.55,87.45,87.5,94.15837631,6.14757181,0.02455269,65352.71922878981,184183.97787416945,0.0099999999999909
LTC-USD,2025-04-26 17:30:00-04:00,87.51,87.55,87.45,87.49,103.99435035,5.44299778,0.24430209,65242.83976213983,184210.90585698944,0.019999999999996
LTC-USD,2025-04-26 17:30:00-04:00,87.51,87.6,87.45,87.57,121.69258505,6.66274728,0.05006669,65346.60731966983,184148.36728487947,0.0100000000000051
LTC-USD,2025-04-26 17:50:00-04:00,87.52,87.53,87.44,87.51,120.46844641,2.78050778,11.88718327,65896.96962149981,186265.91669388945,0.0200000000000102
LTC-USD,2025-04-26 17:55:00-04:00,87.52,87.52,87.41,87.43,29.92941368,0.48710285,4.47750709,65885.32692123982,186353.19732324945,0.0100000000000051
LTC-USD,2025-04-26 18:05:00-04:00,87.62,87.69,87.61,87.69,88.80881895,7.35255109,0.01699206,65884.11954957983,186223.98877761947,0.0099999999999909
LTC-USD,2025-04-26 18:05:00-04:00,87.62,87.73,87.61,87.73,114.36001703,6.19551208,0.03721893,65989.79725729983,186232.10855690943,0.0100000000000051
LTC-USD,2025-04-26 18:05:00-04:00,87.62,87.78,87.61,87.74,214.97505322,0.11398609,4.16397308,66054.32847531984,186332.74522440945,0.0099999999999909
LTC-USD,2025-04-26 18:05:00-04:00,87.62,87.78,87.61,87.71,258.8464983,0.11402508,6.19551206,65941.39830463982,186309.37010960944,0.009999999999990905
