Symbol,Datetime,Open,High,Low,Close,Volume,Best_Bid_Size,Best_Ask_Size,Total_Bid_Depth,Total_Ask_Depth,Spread
MATIC-USD,2025-04-26 17:10:00-04:00,0.2468,0.2468,0.2466,0.2467,3236.8,2027.5,14886.5,6598646.399999998,22193722.699999955,0.0001999999999999
MATIC-USD,2025-04-26 17:10:00-04:00,0.2468,0.2468,0.2466,0.2468,4417.3,2030.0,6085.0,6613197.499999999,22170310.69999995,0.0002
MATIC-USD,2025-04-26 17:10:00-04:00,0.2468,0.2468,0.2466,0.2467,4450.3,3418.4,2687.2,6609376.299999999,22179353.89999996,0.0002999999999999
MATIC-USD,2025-04-26 17:10:00-04:00,0.2468,0.2468,0.2466,0.2467,4450.3,6083.9,2026.8,6609479.299999999,22176554.69999995,0.0002
MATIC-USD,2025-04-26 17:15:00-04:00,0.2467,0.2467,0.2467,0.2467,29.7,2168.0,16213.9,6605723.399999999,22169003.49999995,0.0002999999999999
MATIC-USD,2025-04-26 17:15:00-04:00,0.2467,0.2467,0.2467,0.2467,56.5,6228.1,7346.8,6619400.199999999,22180098.19999995,0.0002999999999999
MATIC-USD,2025-04-26 17:15:00-04:00,0.2467,0.2467,0.2466,0.2466,80.6,36538.9,17972.8,6620613.499999999,22208900.59999996,0.0004
MATIC-USD,2025-04-26 17:15:00-04:00,0.2467,0.2467,0.2466,0.2466,80.6,6087.6,26686.7,6704151.999999999,22233788.999999955,0.0002999999999999
MATIC-USD,2025-04-26 17:15:00-04:00,0.2467,0.2467,0.2466,0.2466,80.6,3995.7,19239.6,6623250.299999999,22193516.19999995,0.0004
MATIC-USD,2025-04-26 17:20:00-04:00,0.2467,0.2467,0.2467,0.2467,2429.5,2027.5,8042.7,6688902.099999999,22231866.199999955,9.9999999999989e-05
MATIC-USD,2025-04-26 17:20:00-04:00,0.2467,0.247,0.2467,0.247,10738.1,1281.7,7326.1,6705030.399999999,22222937.799999952,0.0002999999999999
MATIC-USD,2025-04-26 17:20:00-04:00,0.2467,0.247,0.2467,0.247,10738.1,2021.8,6061.2,6601099.899999999,22164671.299999952,0.0002
MATIC-USD,2025-04-26 17:20:00-04:00,0.2467,0.2475,0.2467,0.2475,11023.7,153.7,7475.8,6690197.899999999,22214586.299999952,0.0002999999999999
MATIC-USD,2025-04-26 17:25:00-04:00,0.2474,0.2474,0.2474,0.2474,1.9,1723.9,1416.1,6686924.499999999,22226061.799999952,0.0002999999999999
MATIC-USD,2025-04-26 17:25:00-04:00,0.2474,0.2474,0.2474,0.2474,1.9,4702.0,1266.6,6609843.599999999,22182521.19999995,0.0002999999999999
MATIC-USD,2025-04-26 17:25:00-04:00,0.2474,0.2474,0.2474,0.2474,1.9,1660.8,1266.6,6619692.1,22176228.59999996,0.0001999999999999
MATIC-USD,2025-04-26 17:30:00-04:00,0.2466,0.2466,0.2466,0.2466,1660.8,6094.9,18235.4,6696198.599999999,22245994.19999996,0.0002999999999999
