Symbol,Datetime,Open,High,Low,Close,Volume,Best_Bid_Size,Best_Ask_Size,Total_Bid_Depth,Total_Ask_Depth,Spread
SOL-USD,2025-04-26 23:55:00-04:00,147.33,147.61,147.33,147.61,797.89433386,25.69659563,58.21701188,339854.4728947804,687285.6634724811,0.0100000000000193
SOL-USD,2025-04-27 00:00:00-04:00,147.61,147.61,147.46,147.48,265.06531431,31.86688726,2.28687155,339632.2683084304,687287.6912408611,0.0200000000000102
SOL-USD,2025-04-27 00:00:00-04:00,147.61,147.61,147.46,147.59,358.97412578,1.19625308,0.34324241,339433.5998915004,686942.726150291,0.0099999999999909
SOL-USD,2025-04-27 00:00:00-04:00,147.61,147.7,147.46,147.67,463.9135455,0.07156597,3.74758401,336363.8720729804,685205.1743293407,0.0100000000000193
SOL-USD,2025-04-27 00:00:00-04:00,147.61,147.72,147.46,147.7,588.06147859,11.86198921,4.25097185,336250.3532770304,685184.6043396706,0.0099999999999909
SOL-USD,2025-04-27 00:00:00-04:00,147.61,147.78,147.46,147.59,1012.58997731,14.88381832,10.1192192,338282.7068625804,687303.1269991011,0.0100000000000193
SOL-USD,2025-04-27 00:05:00-04:00,147.58,147.6,147.41,147.44,590.97472634,12.77830458,17.14414466,335539.7426042903,687483.7682242409,0.0099999999999909
SOL-USD,2025-04-27 00:05:00-04:00,147.58,147.6,147.41,147.5,792.50087347,0.24675472,6.10973946,334358.4561059904,687675.0531412608,0.0100000000000193
SOL-USD,2025-04-27 00:05:00-04:00,147.58,147.6,147.41,147.52,902.47201779,12.53486207,0.02726915,335847.9357968904,687954.8200377708,0.0100000000000193
SOL-USD,2025-04-27 00:05:00-04:00,147.58,147.6,147.41,147.57,1019.4093232,11.86596641,38.57787695,335600.3540732404,688061.8017978207,0.0099999999999909
SOL-USD,2025-04-27 00:05:00-04:00,147.58,147.66,147.41,147.64,1262.66525988,11.86022829,17.38049235,335808.8732712604,688454.0812086709,0.0099999999999909
SOL-USD,2025-04-27 00:10:00-04:00,147.63,147.68,147.62,147.67,169.98566989,12.50445235,9.93563703,336389.9007182004,688007.9471154908,0.0099999999999909
SOL-USD,2025-04-27 00:10:00-04:00,147.63,147.79,147.62,147.79,393.99422791,6.60222819,12.06448205,336262.7573618504,687589.2501088709,0.0100000000000193
SOL-USD,2025-04-27 00:10:00-04:00,147.63,147.82,147.62,147.82,688.75478718,103.12237828,0.06765211,340963.3328001804,687440.127695041,0.0099999999999909
SOL-USD,2025-04-27 00:10:00-04:00,147.63,147.84,147.62,147.83,800.99833213,19.76552243,5.54614897,341122.4728112104,687378.3508402711,0.0100000000000193
SOL-USD,2025-04-27 00:10:00-04:00,147.63,147.91,147.62,147.89,934.53206863,0.0300879,63.20120614,337969.5234998404,687198.8266567711,0.0100000000000193
SOL-USD,2025-04-27 00:15:00-04:00,147.88,147.89,147.72,147.77,165.27437317,7.98922649,19.30706654,339023.48431372043,688231.1952497908,0.0099999999999909
SOL-USD,2025-04-27 00:15:00-04:00,147.88,147.89,147.64,147.65,292.09288177,7.85011254,18.54208691,339492.04171833035,688042.0611123308,0.0100000000000193
SOL-USD,2025-04-27 00:15:00-04:00,147.88,147.89,147.53,147.55,414.64359272,0.81784554,4.61346816,335037.4919433703,687784.9557622207,0.0099999999999909
SOL-USD,2025-04-27 00:15:00-04:00,147.88,147.89,147.5,147.65,718.17160738,25.02213428,19.75587643,334680.5120827204,687414.864266511,0.0099999999999909
SOL-USD,2025-04-27 00:15:00-04:00,147.88,147.89,147.5,147.65,1071.66229821,8.41948374,1.4803374,333672.8721968704,686904.105970921,0.0099999999999909
SOL-USD,2025-04-27 00:20:00-04:00,147.65,147.65,147.52,147.52,126.10507247,0.05294359,14.87045686,332926.5263145904,686470.1043497208,0.0099999999999909
SOL-USD,2025-04-27 00:20:00-04:00,147.65,147.65,147.4,147.44,562.21750953,13.50778236,0.06782191,334223.3403488104,684715.1260341306,0.0099999999999909
SOL-USD,2025-04-27 00:20:00-04:00,147.65,147.65,147.4,147.55,1198.14675773,8.27034901,25.72397415,334238.9880646704,686571.0032812408,0.0099999999999909
SOL-USD,2025-04-27 00:20:00-04:00,147.65,147.65,147.4,147.63,1327.25594635,44.22727451,0.009,334616.6361018304,685964.8217727407,0.0199999999999818
SOL-USD,2025-04-27 00:20:00-04:00,147.65,147.67,147.4,147.64,1461.9176024,20.49339563,2.47901204,335632.9292787804,686917.7457458909,0.0099999999999909
SOL-USD,2025-04-27 00:25:00-04:00,147.65,147.68,147.53,147.64,208.02607624,5.14758332,15.38341733,335561.61617107043,686935.7496125811,0.0200000000000102
SOL-USD,2025-04-27 00:25:00-04:00,147.65,147.68,147.53,147.65,373.00635922,14.18375054,28.1375593,339477.2001046704,686867.9648756109,0.0099999999999909
SOL-USD,2025-04-27 00:25:00-04:00,147.65,147.68,147.53,147.64,537.6201883,11.11304065,12.63784339,339423.0509742105,686333.4392733306,0.0099999999999909
SOL-USD,2025-04-27 00:25:00-04:00,147.65,147.7,147.53,147.61,692.51301371,33.43920861,3.25278262,339318.98736304045,687213.8626285811,0.0100000000000193
SOL-USD,2025-04-27 00:25:00-04:00,147.65,147.7,147.53,147.63,784.78943501,42.57868921,17.97835907,339364.2564149205,687318.8218826811,0.0099999999999909
SOL-USD,2025-04-27 00:30:00-04:00,147.62,147.69,147.62,147.65,138.86295428,2.66370799,21.07797009,338017.9652180604,687249.3922303511,0.0099999999999909
SOL-USD,2025-04-27 00:30:00-04:00,147.62,147.69,147.3,147.34,501.86201667,70.995032,4.04269221,337696.45155024045,687795.1517428907,0.0099999999999909
SOL-USD,2025-04-27 00:30:00-04:00,147.62,147.69,147.27,147.3,616.85571923,0.06788405,37.38337501,337739.4766936505,687498.6008811109,0.0099999999999909
SOL-USD,2025-04-27 00:30:00-04:00,147.62,147.69,147.27,147.28,827.80380137,0.59243411,44.31516139,336676.0386175204,687279.7013457711,0.0099999999999909
SOL-USD,2025-04-27 00:30:00-04:00,147.62,147.69,147.14,147.15,1040.11045293,0.06800408,21.29747939,336569.87359407044,687838.2228650107,0.0099999999999909
SOL-USD,2025-04-27 00:35:00-04:00,147.14,147.14,147.03,147.05,256.67132546,0.03261879,3.34205984,337818.03735310043,687728.9066160006,0.0099999999999909
SOL-USD,2025-04-27 00:35:00-04:00,147.14,147.23,147.01,147.18,514.25064884,1.38739293,9.97273953,334357.46163851046,687668.2744077207,0.0100000000000193
SOL-USD,2025-04-27 00:35:00-04:00,147.14,147.27,147.01,147.14,685.72716184,0.0250993,7.36720667,338188.7121083904,687362.3750445411,0.0099999999999909
SOL-USD,2025-04-27 00:35:00-04:00,147.14,147.27,146.89,146.91,1292.09238909,7.57338599,32.69614249,338285.0990332604,686762.9981443109,0.0099999999999909
SOL-USD,2025-04-27 00:35:00-04:00,147.14,147.27,146.75,146.78,1593.81569543,0.07837439,13.00040148,333440.8388405504,688149.6667538607,0.0099999999999909
SOL-USD,2025-04-27 00:40:00-04:00,146.79,146.86,146.67,146.86,522.6444168,1.39301035,5.2113633,333066.2055629104,688004.2062936306,0.0100000000000193
SOL-USD,2025-04-27 00:40:00-04:00,146.79,147.0,146.67,146.99,736.36406067,0.04007727,14.44355869,333077.58590765035,688354.5768648307,0.0100000000000193
SOL-USD,2025-04-27 00:40:00-04:00,146.79,147.03,146.67,147.01,1463.39011692,5.97586293,12.75807806,333471.8313536604,688452.7320829807,0.0100000000000193
SOL-USD,2025-04-27 00:40:00-04:00,146.79,147.03,146.67,146.99,1780.55892131,0.05279893,1.20371,333812.0912745104,688209.5325161606,0.0099999999999909
