Symbol,Datetime,Open,High,Low,Close,Volume,Best_Bid_Size,Best_Ask_Size,Total_Bid_Depth,Total_Ask_Depth,Spread
XRP-USD,2025-04-26 23:55:00-04:00,2.1757,2.1773,2.175,2.1765,236745.163702,0.043845,5386.858942,35121755.58506496,120053997.06408638,9.999999999976694e-05
XRP-USD,2025-04-27 00:00:00-04:00,2.1765,2.1765,2.1755,2.1755,25133.936746,4164.744367,1231.859343,35126559.51610796,120031863.42987636,0.0002999999999997
XRP-USD,2025-04-27 00:00:00-04:00,2.1765,2.1765,2.174,2.1752,36711.232837,3552.926209,408.967646,35071972.857831985,120027763.75970936,0.0001999999999999
XRP-USD,2025-04-27 00:00:00-04:00,2.1765,2.1766,2.174,2.1761,63421.543831,1258.078579,237.475416,35020324.81449099,119883328.43055037,0.0003000000000001
XRP-USD,2025-04-27 00:00:00-04:00,2.1765,2.1766,2.174,2.1761,76384.795006,4.900733,869.35434,34976673.83052799,119935771.80298138,0.0001999999999999
XRP-USD,2025-04-27 00:00:00-04:00,2.1765,2.1767,2.174,2.1753,80344.273546,3914.753195,100.878358,35195174.098972976,119486820.94356838,0.0001000000000002
XRP-USD,2025-04-27 00:05:00-04:00,2.175,2.1751,2.1734,2.174,22437.5815,0.709528,503.898537,35188490.89020197,119561494.48931938,0.0001000000000002
XRP-USD,2025-04-27 00:05:00-04:00,2.175,2.1751,2.1734,2.1751,26726.779752,531.0,776.54097,35195335.90858397,119591384.57001536,0.0001999999999999
XRP-USD,2025-04-27 00:05:00-04:00,2.175,2.1758,2.1734,2.1753,28796.502157,240.049418,241.711614,35182238.19724196,119595122.31787238,0.0002999999999997
XRP-USD,2025-04-27 00:05:00-04:00,2.175,2.1768,2.1734,2.1763,66787.115803,1200.126155,911.16924,35728059.484776966,119515576.5617044,9.999999999976694e-05
XRP-USD,2025-04-27 00:05:00-04:00,2.175,2.1776,2.1734,2.1776,71092.967687,1719.490329,820.068182,35711437.47145998,119514802.0496344,0.0003000000000001
XRP-USD,2025-04-27 00:10:00-04:00,2.1776,2.1778,2.1773,2.1775,8891.999731,543.911021,419.724792,35679114.054027975,119467124.73487338,0.0001999999999999
XRP-USD,2025-04-27 00:10:00-04:00,2.1776,2.1785,2.1773,2.1781,18890.145812,1481.789156,355.775862,35743748.325324975,119517974.34803438,0.0001000000000002
XRP-USD,2025-04-27 00:10:00-04:00,2.1776,2.1786,2.1773,2.1784,30322.445957,741.769699,405.729761,35756258.10381198,119515632.45047238,0.0001000000000002
XRP-USD,2025-04-27 00:10:00-04:00,2.1776,2.179,2.1773,2.1788,45440.504712,1120.739789,163.987689,35257879.98889497,119484083.8171304,0.0001999999999999
XRP-USD,2025-04-27 00:10:00-04:00,2.1776,2.1796,2.1773,2.1795,70462.799033,4779.721722,0.15637,35256238.30450396,119491454.01442438,0.0001000000000002
XRP-USD,2025-04-27 00:15:00-04:00,2.1795,2.18,2.1787,2.1792,13076.651033,1.825239,998.734737,35216768.30781597,119518197.5338944,0.0001999999999999
XRP-USD,2025-04-27 00:15:00-04:00,2.1795,2.18,2.178,2.1781,23654.652809,2973.680263,797.493834,35220884.79265496,119459269.3568574,0.0002000000000004
XRP-USD,2025-04-27 00:15:00-04:00,2.1795,2.18,2.1756,2.1756,40716.195862,4935.119982,2081.650841,35197830.191902965,119471546.81734738,0.0001999999999999
XRP-USD,2025-04-27 00:15:00-04:00,2.1795,2.18,2.1755,2.1773,48855.239297,4167.970271,0.6,35144576.101753965,119438377.1096524,0.0001000000000002
